ICD8_CODE	ICD8_TEXT	ICD10_CODE	MAPPING_SCORE	MAPPING_FLAG	START_DATE	END_DATE
00009	Cholera,Causae Vibrionis Cholerae                            	A000	1		19710401	19931231
00019	Cholera,Causae Vibrionis El Tor                              	A001	1		19710401	19931231
00099	Cholera                                                      	A009	1		19710401	19931231
00199	Febris Typhoidea                                             	A010	1		19710401	19931231
00209	Febris Paratyphoidea Typus A                                 	A011	1		19710401	19931231
00219	Febris Paratyphoidea Typus B                                 	A012	1		19710401	19931231
00229	Febris Paratyphoidea Typus C                                 	A013	1		19710401	19931231
00299	Febris Paratyphoidea                                         	A014	1		19710401	19931231
00300	Salmonellosis Causa Aliment. Typhi Murium(Breslau)           	A02	3	A	19710401	19931231
00301	Salmonellosis Causa Aliment. Enteritidis(Gartner)            	A02	3	A	19710401	19931231
00308	Salmonellosis Causa Alimentaria Alia Definita                	A02	3	A	19710401	19931231
00309	Salmonellosis Causa Alimentaria                              	A02	2	A	19710401	19931231
00390	Salmonellosis(Causa Aliment. Non Indic.)Typ.Murium(Breslau)  	A02	3	A	19710401	19931231
00391	Salmonellosis(Causa Aliment. Non Indic)Enteritidis(Gartner)  	A02	3	A	19710401	19931231
00398	Salmonellosis(Causa Aliment. Non Indicata)Alia Definita      	A02	3	A	19710401	19931231
00399	Salmonellosis(Causa Aliment. Non Indicata)                   	A02	2	A	19710401	19931231
00409	Dysenteria Bacillaris Shiga                                  	A030	2		19710401	19931231
00419	Dysenteria Bacillaris Flexner                                	A031	1		19710401	19931231
00429	Dysenteria Bacillaris Boyd                                   	A032	1		19710401	19931231
00439	Dysenteria Bacillaris Sonne                                  	A033	1		19710401	19931231
00449	Dysenteria Bacillaris Schmitz                                	A038	2		19710401	19931231
00489	Dysenteria Bacillaris Alia                                   	A038	2		19710401	19931231
00499	Dysenteria Bacillaris                                        	A039	1		19710401	19931231
00509	Intoxicatio Alimentaria Staphylococci                        	A050	1		19710401	19931231
00519	Intoxicatio Aliment.Clostridii Botulini(Botulismus)          	A051	1		19710401	19931231
00529	Intoxicatio Alimentaria Clostridii Acuta Alia                	A052	2	B	19710401	19931231
00589	Intoxicatio Alimentaria Acuta Bacillaris Alia                	A05	2	A	19710401	19931231
00599	Intoxicatio Alimentaria Acuta Bacillaris                     	A059	2	D	19710401	19931231
00609	Amoebiasis Cum Abscessu Hepatis                              	A064	1		19710401	19931231
00690	Amoebiasis Sine Abscessu Hepatis                             	A06	2	A	19710401	19931231
00698	Amoebiasis Alia Definita (Abscessu Hepatis Non Indic.)       	A06	2	A	19710401	19931231
00699	Amoebiasis(Abscessu Hepatis Non Indicato)                    	A069	1	B	19710401	19931231
00709	Balantidiasis                                                	A070	1		19710401	19931231
00719	Giardiasis.Lambliasis                                        	A071	1	B	19710401	19931231
00720	Cryptosporidiosis                                            	A072	1		19850101	19931231
00729	Coccidiosis                                                  	A078D	1	B	19710401	19931231
00799	Mb.Protozoicus Intestinalis Alia Et Non Specificata          	A07	2	A	19710401	19931231
00809	Enteritis Escherichia Coli                                   	A044	2	E	19710401	19931231
00819	Enteritis Arizona                                            	A020	3		19710401	19931231
00820	Campylobacter-Enteritis                                      	A045	1		19820101	19931231
00821	Enteritis Clostridii Difficilis                              	A047	2		19850101	19931231
00829	Enteritis Bacterica Alia Specificata                         	A04	2	A	19710401	19931231
00839	Enteritis Bacterica Non Specificata                          	A049	2	D	19710401	19931231
00880	Enteritis Virosa Rota                                        	A080	1		19840101	19931231
00889	Enteritis Virosa Specificata                                 	A08	3	A	19710401	19931231
00890	Enteritis Sive Gastroenteritis Virosa Non Specificata        	A084	2		19710401	19931231
00899	Enteritis Per Organismum Alium (Alibi Non Classificabilis)   	A085	2		19710401	19931231
00909	Diarrhoea Dysenterica Non Specificata                        	A090	3		19710401	19931231
00919	Diarrhoea(Infectiosa)(Non Specificata)                       	A090	3		19710401	19931231
00920	Gastroenteritis(Acuta) (Infectiosa)                          	A090	3		19710401	19931231
00921	Enterocolitis,Enteritis Sive Colitis(Acuta)(Infectiosa)      	A090	3		19710401	19931231
00922	Colitis Pseudomembranosa                                     	A047	2	B	19870101	19931231
00928	Gastroenteritis Et Colitis Alia Definita(Acuta)(Infekt.)     	A090	3		19710401	19931231
00929	Gastroenteritis Et Colitis (Acuta)(Infectiosa)               	A090	2		19710401	19931231
00999	Diarrhoea Alia                                               	A099	3		19710401	19931231
01099	Silicotuberculosis                                           	J65	2	B	19710401	19931231
01100	Tuberculosis Pulmonum Cavernosa                              	A162	2	C	19710401	19931231
01101	Tuberculosis Pulmonum Non Cavernosa                          	A162	2	C	19710401	19931231
01102	Tuberculosis Bronchialis                                     	A164	2	E	19710401	19931231
01103	Tuberculoma Pulmonum                                         	A162	2	C	19710401	19931231
01104	Tuberculosis Pulmonum Miliaris                               	A190	5	C	19710401	19931231
01105	Tuberculosis Pulmonum Cum Bronchiectasia                     	A162	2	C	19710401	19931231
01108	Tuberculosis Pulmonum Alia Definita                          	A162	2	C	19710401	19931231
01109	Tuberculosis Pulm.Tbc.Organor. Respir.(Loco Non Indic.),Tbc. 	A169	2		19710401	19931231
01200	Complexus Tuberculosus Primarius Cum Symptomatibus           	A167	3		19710401	19931231
01201	Reactio Positiva Tuberculini Spontanea                       	R761	3		19710401	19931231
01208	Tuberculosis Organorum Resp. Prim.Cum Sympt.Alia Definita    	A167	2		19710401	19931231
01209	Tuberculosis Organorum Resp. Primaria Cum Symptomatibus      	A167	2		19710401	19931231
01210	Pleuritis Exsudativa Tuberculosa                             	A165	2	D	19710401	19931231
01211	Empyema Tuberculosum Pleurae                                 	A165	2	D	19710401	19931231
01218	Tuberculosis Pleurae Alia Definita                           	A165	3		19710401	19931231
01219	Tuberculosis Pleurae                                         	A165	3		19710401	19931231
01229	Pleuritis Exsudat.(Serofibrin. Serosa)Causa Non Indicata     	J909	3	E	19710401	19931231
01239	Tuberculosis Laryngis                                        	A164	2	E	19710401	19931231
01290	Tuberculosis Tracheae                                        	A164	2	E	19710401	19931231
01291	Tuberculosis Pharyngis                                       	A164	2	E	19710401	19931231
01292	Tbc.Lymphonodorum Tracheobronchialium Et Mediastini          	A163	2	D	19710401	19931231
01299	Tuberculosis Organorum Respirationis Alia                    	A169	2	G	19710401	19931231
01300	Tbc.Meningum Sine Affectione Systematis Nervosi Centralis    	A17	5		19710401	19931231
01301	Tbc. Meningum Cum Affectione Systematis Nervosi Centralis    	A17	5		19710401	19931231
01308	Tuberculosis Meningum Alia Definita                          	A17	5		19710401	19931231
01309	Meningitis(Miliaris) Tuberculosa                             	A170	2		19710401	19931231
01390	Tuberculoma Systematis Nervosi Centralis                     	A178	2		19710401	19931231
01391	Tbc.System.Nervosi Centralis (Meningitide Tbc.Non Indicata)  	A178	2		19710401	19861231
01399	Tuberculosis Systematis Nervosi Centralis Alia               	A178	2		19710401	19931231
01400	Tuberculosis Intestini                                       	A183	2	E	19710401	19931231
01401	Tuberculosis Peritonei                                       	A183	2	E	19710401	19931231
01402	Tuberculosis Lymphonodorum Mesenterii                        	A183H	2		19710401	19931231
01409	Tbc.Intestini,Peritonei, Lymphonodorum Mesenterii            	A183	2	D	19710401	19931231
01509	Tuberculosis Columnae Vertebralis                            	A180	2	E	19710401	19931231
01519	Tuberculosis Coxae                                           	A180	2	E	19710401	19931231
01529	Tuberculosis Genus                                           	A180	2	E	19710401	19931231
01589	Tuberculosis Ossium Et Articulorum Alia                      	A180	2		19710401	19931231
01599	Tuberculosis Ossium Et Articulorum(Loco Non Indicata)        	A180	2		19710401	19931231
01600	Tuberculosis Renis                                           	A181	2	E	19710401	19931231
01601	Tuberculosis Vesicae Urinariae                               	A181	2	E	19710401	19931231
01602	Tuberculosis Prostatae, Vesiculae Seminalis                  	A181	2	E	19710401	19931231
01603	Tuberculosis Epididymidis                                    	A181	2	E	19710401	19931231
01604	Tuberculosis Testis                                          	A181	2	E	19710401	19931231
01605	Tuberculosis Salpingis                                       	A181	2	E	19710401	19931231
01606	Tuberculosis Endometrii                                      	A181	2	E	19710401	19931231
01608	Tuberculosis Urogenitalis Alia Definita                      	A181	2		19710401	19931231
01609	Tuberculosis Urogenitalis                                    	A181	2		19710401	19931231
01700	Erythema Nodosum Tuberculosum                                	L93	2	E	19710401	19931231
01701	Lupus Vulgaris(Tuberculosus)                                 	A184C	2		19710401	19931231
01702	Erythema Induratum (Tuberculosum)                            	A184I	2	B	19710401	19931231
01708	Tuberculosis Cutis Et Subcutis Alia Definita                 	A184	2		19710401	19931231
01709	Tuberculosis Cutis Et Subcutis                               	A184	2	D	19710401	19931231
01710	Tuberculosis Lymphonodorum Colli                             	A182	2	E	19710401	19931231
01718	Tuberculosis Lymphonodorum Aliorum Definitorum               	A182	2		19710401	19761231
01718	Tuberculosis Lymphonodorum Periphericorum Aliorum Defin.     	A182	2		19770101	19931231
01719	Tuberculosis Lymphonodorum                                   	A182	2		19710401	19761231
01719	Tuberculosis Lymphonodorum Periphericorum                    	A182	2		19770101	19931231
01729	Tuberculosis Oculi                                           	A185	2	D	19710401	19931231
01739	Tuberculosis Auris                                           	A186	2		19710401	19931231
01790	Tbc. Glandulae Suprarenalis, Mrb. Addisoni Tuberculosus      	A187	2		19710401	19931231
01799	Tuberculosis Organorum Aliorum (Alibi Non Classific.010-017) 	A188	2		19710401	19931231
01809	Tuberculosis Miliaris (Universalis)Acuta,Non Pulm.           	A191	2		19710401	19931231
01819	Tuberculosis Miliaris (Universalis)Acuta                     	A191	2		19710401	19931231
01899	Tuberculosis Miliaris (Universalis)Alia                      	A19	2	A	19710401	19931231
01900	Bronchiectasia E Tuberculosi                                 	B909	3	G	19710401	19931231
01901	Emphysema Pulmonum E Tuberculosi                             	B909	3	G	19710401	19931231
01902	Atelectasis Pulmonis E Tuberculosi                           	B909	3	G	19710401	19931231
01903	Fibrosis Pulmonum E Tuberculosi                              	B909	3	G	19710401	19931231
01904	Adhaesiones Pleurae E Tuberculosi                            	B909	3	G	19710401	19931231
01908	Tbc.Sequelae,Organorum Respirationis Aliorum Def.            	B909	2		19710401	19931231
01909	Tuberculosis,Sequelae, Organorum Respirationis               	B909	2		19710401	19931231
01919	Tuberculosis,Sequelae, Systematis Nervosi Centralis          	B900	1		19710401	19931231
01920	Tuberculosis,Sequelae, Systematis Urinarii                   	B901	2		19710401	19931231
01921	Tuberculosis,Sequelae, Organorum Genitalium                  	B901	2		19710401	19931231
01929	Tuberculosis,Sequelae, Organorum Urogenitalium               	B901	1		19710401	19931231
01930	Tuberculosis,Sequelae,Columnae Vertebralis                   	B902	2	E	19710401	19931231
01931	Tuberculosis,Sequelae,Coxae                                  	B902	2	E	19710401	19931231
01932	Tuberculosis,Sequelae,Genus                                  	B902	2	E	19710401	19931231
01938	Tbc.Sequelae,Ossium Et Articulorum Aliorum Def.              	B902	2		19710401	19931231
01939	Tuberculosis,Sequelae,Ossium Et Articulorum                  	B902	1		19710401	19931231
01999	Tuberculosis,Sequelae, Organorum Aliorum Specific.           	B908	1		19710401	19931231
02009	Pestis Bubonica                                              	A200	1	B	19710401	19931231
02019	Pestis Pulmonalis                                            	A202	1		19710401	19931231
02099	Pestis                                                       	A209	1		19710401	19931231
02199	Tularaemia                                                   	A219	1		19710401	19931231
02299	Anthrax                                                      	A229	1		19710401	19931231
02309	Brucellosis Melitensis                                       	A230	1		19710401	19931231
02319	Brucellosis Abortus Bang                                     	A231	1	B	19710401	19931231
02329	Brucellosis Suis                                             	A232	1		19710401	19931231
02399	Brucellosis                                                  	A239	1		19710401	19931231
02499	Malleus                                                      	A240	1	B	19710401	19931231
02599	Melioidosis                                                  	A244	1		19710401	19931231
02609	Febris Morsus Muris Per Spirillum Minus                      	A250	1	B	19710401	19931231
02619	Febris Morsus Muris Per Streptobacillum Moniliformem         	A251	1	B	19710401	19931231
02699	Febris Morsus Muris                                          	A259	1		19710401	19931231
02700	Granulomatosis Infantiseptica                                	P372	2		19710401	19931231
02701	Meningoencephalitis Listerica                                	A321	2		19710401	19931231
02708	Listeriosis Alia Definita                                    	A32	2	A	19710401	19931231
02709	Listeriosis                                                  	A329	2	D	19710401	19931231
02719	Infectio Erysipelothricis (Erysipeloides)                    	A269	1		19710401	19931231
02790	Yersiniosis                                                  	A046	3	D	19780101	19931231
02799	Mb.Bact.Ex Orig.Animali Alia (Alibi Non Classif.020-027.1)   	A28	1		19710401	19931231
03009	Lepra Lepromatosa(Nodosa)                                    	A305	1		19710401	19931231
03019	Lepra Tuberculoides (Maculo-Anaesthetica)                    	A301	1		19710401	19931231
03029	Lepra Indeterminata                                          	A30	2		19710401	19931231
03039	Lepra Mixta(Dimorfi)                                         	A30	2		19710401	19931231
03099	Lepra Alia Et Non Specificata                                	A30	2	A	19710401	19931231
03199	Morbus Mycobactericus Alius                                  	A31	2		19710401	19931231
03299	Diphtheria                                                   	A369	1		19710401	19931231
03309	Pertussis                                                    	A370	1		19710401	19931231
03319	Parapertussis                                                	A371	1		19710401	19931231
03399	Tussis Alia Et Non Specificata                               	A37	2	A	19710401	19931231
03400	Tonsillitis Streptococcica                                   	J030	2	B	19710401	19931231
03401	Pharyngitis Streptococcica                                   	J020	2	B	19710401	19931231
03409	Infectio Faucium Streptococcica                              	J030	3	F	19710401	19931231
03410	Scarlatina Cum Complicatione                                 	A38	2		19710401	19931231
03411	Scarlatina Sine Complicatione                                	A38	2		19710401	19931231
03419	Scarlatina                                                   	A389	1		19710401	19931231
03599	Erysipelas                                                   	A469	1		19710401	19931231
03609	Meningitis Meningococcica                                    	A390	1		19710401	19931231
03610	Meningococcaemia Acuta                                       	A392	1		19710401	19931231
03611	Syndroma Waterhousefriderichsen                              	A391	1		19710401	19931231
03612	Meningococcaemia Chronica                                    	A393	2	D	19710401	19931231
03618	Meningococcaemia Alia Definita                               	A39	3	A	19710401	19931231
03619	Meningococcaemia(Meningitide Non Indicata)                   	A394	2		19710401	19931231
03689	Infectio Meningococcica Alia                                 	A39	2	A	19710401	19931231
03699	Infectio Meningococcica                                      	A399	2	D	19710401	19931231
03799	Tetanus                                                      	A359	2	D	19710401	19931231
03809	Septicaemia Streptococcica                                   	A409	2	D	19710401	19931231
03819	Septicaemia Staphylococcica                                  	A412	2	D	19710401	19931231
03829	Septicaemia Pneumococcica                                    	A403	2	D	19710401	19931231
03880	Septicaemia Escherichiae Coli                                	A415A	2	D	19710401	19931231
03889	Septicaemia E Microbiosi Alia                                	A41	3	D	19710401	19931231
03899	Septicaemia                                                  	A419	3	D	19710401	19931231
03909	Gangraena Emphysematosa                                      	A480	1		19710401	19931231
03919	Rhinoscleroma                                                	A488	3		19710401	19931231
