"Order","Category","Code","Disease"
"1","Intestinal infectious diseases","000","Cholera"
"2","Intestinal infectious diseases","000.0","Classical Cholera"
"3","Intestinal infectious diseases","000.1","El Tor"
"4","Intestinal infectious diseases","000.9","Unspecified"
"5","Intestinal infectious diseases","001","Typhoid fever"
"6","Intestinal infectious diseases","002","Paratyphoid fever"
"7","Intestinal infectious diseases","002.0","Paratyphoid fever A"
"8","Intestinal infectious diseases","002.1","Paratyphoid fever B"
"9","Intestinal infectious diseases","002.2","Paratyphoid fever C"
"10","Intestinal infectious diseases","002.9","Paratyphoid fever unspecified"
"11","Intestinal infectious diseases","003","Other Salmonella infections"
"12","Intestinal infectious diseases","003.0","With food as vehicle of infection"
"13","Intestinal infectious diseases","003.9","Without mention of food as vehicle of infection"
"14","Intestinal infectious diseases","004","Bacillary dysentery"
"15","Intestinal infectious diseases","004.0","Shiga"
"16","Intestinal infectious diseases","004.1","Flexner"
"17","Intestinal infectious diseases","004.2","Boyd"
"18","Intestinal infectious diseases","004.3","Soone"
"19","Intestinal infectious diseases","004.4","Schmitz-(Stutzer)"
"20","Intestinal infectious diseases","004.8","Other bacillary"
"21","Intestinal infectious diseases","004.9","Unspecified"
"22","Intestinal infectious diseases","005","Food poisoning (bacterial)"
"23","Intestinal infectious diseases","005.0","Staphylococcal"
"24","Intestinal infectious diseases","005.1","Botulism"
"25","Intestinal infectious diseases","005.2","Due to other clostridia"
"26","Intestinal infectious diseases","005.8","Other specified bacterial food poisoning"
"27","Intestinal infectious diseases","005.9","Food poisoning, unspecified"
"28","Intestinal infectious diseases","006","Amoebiasis"
"29","Intestinal infectious diseases","006.0","With liver abscess"
"30","Intestinal infectious diseases","006.9","Without mention of liver abscess"
"31","Intestinal infectious diseases","007","Other protozoal intestinal diseases"
"32","Intestinal infectious diseases","007.0","Balantidiasis"
"33","Intestinal infectious diseases","007.1","Giardiasis"
"34","Intestinal infectious diseases","007.2","Coccidiosis"
"35","Intestinal infectious diseases","007.9","Other and unspecified"
"36","Intestinal infectious diseases","008","Enteritis due to other specified organism"
"37","Intestinal infectious diseases","008.0","Escherichia coli"
"38","Intestinal infectious diseases","008.1","Arizona"
"39","Intestinal infectious diseases","008.2","Other specified bacteria"
"40","Intestinal infectious diseases","008.3","Bacterial enteritis, unspecified"
"41","Intestinal infectious diseases","008.8","Enteritis due to specified virus"
"42","Intestinal infectious diseases","008.9","Other organism, not elsewhere classified"
"43","Intestinal infectious diseases","009","Diarrhoeal disease"
"44","Intestinal infectious diseases","009.0","Dysentery, unspecified"
"45","Intestinal infectious diseases","009.1","Diarrhoea"
"46","Intestinal infectious diseases","009.2","Gastro-enteritis and colitis"
"47","Intestinal infectious diseases","009.9","Other diarrhoeal disease"
"48","Tuberculosis","010","Silicotuberculosis"
"49","Tuberculosis","011","Pulmonary tuberculosis"
"50","Tuberculosis","011.0","Active, minimal"
"51","Tuberculosis","011.1","Active, moderately advanced"
"52","Tuberculosis","011.2","Active, far advanced"
"53","Tuberculosis","011.3","Active, stage unspecified"
"54","Tuberculosis","011.4","Miliary, lung NOS"
"55","Tuberculosis","011.5","Radiological evidence alone"
"56","Tuberculosis","011.9","Pulmonary tuberculosis NOS"
"57","Tuberculosis","012","Other respiratory tuberculosis"
"58","Tuberculosis","012.0","Primary"
"59","Tuberculosis","012.1","Pleurisy specified as tuberculous"
"60","Tuberculosis","012.2","Pleurisy with effusion without mention of cause"
"61","Tuberculosis","012.3","Tuberculous laryngitis"
"62","Tuberculosis","012.9","Other respiratory tuberculosis"
"63","Tuberculosis","013","Tuberculosis of meninges and central nervous system"
"64","Tuberculosis","013.0","Tuberculous meningitis"
"65","Tuberculosis","013.9","Other central nervous system"
"66","Tuberculosis","014","Tuberculosis of intestines, peritoneum and mesenteric glands"
"67","Tuberculosis","015","Tuberculosis of bones and joints"
"68","Tuberculosis","015.0","Of vertebral column"
"69","Tuberculosis","015.1","Of hip"
"70","Tuberculosis","015.2","Of knee"
"71","Tuberculosis","015.8","Of other specified bones and joints"
"72","Tuberculosis","015.9","Of unspecified bones and joints"
"73","Tuberculosis","016","Tuberculosis of genito-urinary system"
"74","Tuberculosis","016.0","Kidney"
"75","Tuberculosis","016.1","Other urinary organs"
"76","Tuberculosis","016.2","Genital organs (male and female)"
"77","Tuberculosis","016.9","Genito-urinary system, site unspecified"
"78","Tuberculosis","017","Tuberculosis of other organs"
"79","Tuberculosis","017.0","Of skin and subcutaneous cellular tissue"
"80","Tuberculosis","017.1","Of peripheral lymphatic glands"
"81","Tuberculosis","017.2","Of eye"
"82","Tuberculosis","017.3","Of ear"
"83","Tuberculosis","017.9","Of other organs"
"84","Tuberculosis","018","Disseminated tuberculosis"
"85","Tuberculosis","018.0","Acute miliary tuberculosis specified as nonpulmonary"
"86","Tuberculosis","018.1","Acute miliary tuberculosis unspecified"
"87","Tuberculosis","018.9","Other forms of disseminated tuberculosis"
"88","Tuberculosis","019","Late effects of tuberculosis"
"89","Tuberculosis","019.0","Respiratory tuberculosis"
"90","Tuberculosis","019.1","Of central nervous system"
"91","Tuberculosis","019.2","Of genito-urinary system"
"92","Tuberculosis","019.3","Of vertabral column"
"93","Tuberculosis","019.4","Of hip"
"94","Tuberculosis","019.5","Of knee"
"95","Tuberculosis","019.6","Of other bones and joints"
"96","Tuberculosis","019.9","Of other specified organs"
"97","Zoonotic bacterial diseases","020","Plague"
"98","Zoonotic bacterial diseases","020.0","Bubonic"
"99","Zoonotic bacterial diseases","020.1","Pulmonic"
"100","Zoonotic bacterial diseases","020.9","Unspecified"
"101","Zoonotic bacterial diseases","021","Tularaemia"
"102","Zoonotic bacterial diseases","022","Anthrax"
"103","Zoonotic bacterial diseases","023","Brucellosis"
"104","Zoonotic bacterial diseases","023.0","Brucella melitensis"
"105","Zoonotic bacterial diseases","023.1","Brucella abortus"
"106","Zoonotic bacterial diseases","023.2","Brucella suis"
"107","Zoonotic bacterial diseases","023.9","Unspecified"
"108","Zoonotic bacterial diseases","024","Glanders"
"109","Zoonotic bacterial diseases","025","Melioidosis"
"110","Zoonotic bacterial diseases","026","Rat-bite fever"
"111","Zoonotic bacterial diseases","026.1","Spirillum minus"
"112","Zoonotic bacterial diseases","026.2","Streptobacillus moniliformis"
"113","Zoonotic bacterial diseases","026.9","Unspecified"
"114","Zoonotic bacterial diseases","027","Other zoonotic bacterial diseases"
"115","Zoonotic bacterial diseases","027.0","Listeriosis"
"116","Zoonotic bacterial diseases","027.1","Erysipelothrix infection"
"117","Zoonotic bacterial diseases","027.9","Other"
"118","Other bacterial diseases","030","Leprosy"
"119","Other bacterial diseases","030.0","Lepromatous"
"120","Other bacterial diseases","030.1","Tuberculoid"
"121","Other bacterial diseases","030.2","Indeterminate"
"122","Other bacterial diseases","030.3","Borderline"
"123","Other bacterial diseases","030.9","Other and unspecified"
"124","Other bacterial diseases","031","Other diseases due to Mycobacteria"
"125","Other bacterial diseases","031.0","Pulmonary"
"126","Other bacterial diseases","031.9","Other and unspecified"
"127","Other bacterial diseases","032","Diphtheria"
"128","Other bacterial diseases","033","Whooping cough"
"129","Other bacterial diseases","033.0","Bordetalla Pertussis"
"130","Other bacterial diseases","033.1","Bordetalla parapertussis"
"131","Other bacterial diseases","033.9","Other and unspecified"
"132","Other bacterial diseases","034","Streptococcal sore throat and scarlet fever"
"133","Other bacterial diseases","034.0","Streptococcal sore throat"
"134","Other bacterial diseases","034.1","Scarlet fever"
"135","Other bacterial diseases","035","Erysipelas"
"136","Other bacterial diseases","036","Meningococcal infection"
"137","Other bacterial diseases","036.0","Meningococcal meningitis"
"138","Other bacterial diseases","036.1","Meningococcaemia without mention of meningitis"
"139","Other bacterial diseases","036.8","Other forms of meningococcal infection"
"140","Other bacterial diseases","036.9","Unspecified"
"141","Other bacterial diseases","037","Tetanus"
"142","Other bacterial diseases","038","Septicaemia"
"143","Other bacterial diseases","038.0","Streptococcal"
"144","Other bacterial diseases","038.1","Staphylococcal"
"145","Other bacterial diseases","038.2","Pneumococcal"
"146","Other bacterial diseases","038.8","Other bacterial septicaemia"
"147","Other bacterial diseases","038.9","Unspecified"
"148","Other bacterial diseases","039","Other bacterial diseases"
"149","Other bacterial diseases","039.0","Gas gangrene"
"150","Other bacterial diseases","039.1","Rhinoscleroma"
"151","Other bacterial diseases","039.9","Other"
"152","Poliomyelitis and other enterovirus diseases of central nervous system","040","Acute paralytic poliomyelitis specified as bulbar"
"153","Poliomyelitis and other enterovirus diseases of central nervous system","041","Acute poliomyelitis with other paralysis"
"154","Poliomyelitis and other enterovirus diseases of central nervous system","042","Acute nonparalytic poliomyelitis"
"155","Poliomyelitis and other enterovirus diseases of central nervous system","043","Acute poliomyelitis, unspecified"
"156","Poliomyelitis and other enterovirus diseases of central nervous system","044","Late effects of actue poliomyelitis"
"157","Poliomyelitis and other enterovirus diseases of central nervous system","045","Aseptic mentingitis due to enterovirus"
"158","Poliomyelitis and other enterovirus diseases of central nervous system","045.0","Coxsackie virus"
"159","Poliomyelitis and other enterovirus diseases of central nervous system","045.1","ECHO virus"
"160","Poliomyelitis and other enterovirus diseases of central nervous system","045.9","Aseptic meningitis, unspecified"
"161","Poliomyelitis and other enterovirus diseases of central nervous system","046","Other enterovirus diseases of central nervous system"
"162","Viral diseases accompanied by exanthem","050","Smallpox"
"163","Viral diseases accompanied by exanthem","050.0","Variola major"
"164","Viral diseases accompanied by exanthem","050.1","Variola minor (alastrim)"
"165","Viral diseases accompanied by exanthem","050.9","Unspecified"
"166","Viral diseases accompanied by exanthem","051","Cowpox"
"167","Viral diseases accompanied by exanthem","052","Chickenpox"
"168","Viral diseases accompanied by exanthem","053","Herpes zoster"
"169","Viral diseases accompanied by exanthem","053.0","Of eye"
"170","Viral diseases accompanied by exanthem","053.1","Of other parts of face"
"171","Viral diseases accompanied by exanthem","053.2","Of trunk"
"172","Viral diseases accompanied by exanthem","053.9","Of other and unspecified sites"
"173","Viral diseases accompanied by exanthem","054","Herpes simplex"
"174","Viral diseases accompanied by exanthem","055","Measles"
"175","Viral diseases accompanied by exanthem","056","Rubella"
"176","Viral diseases accompanied by exanthem","057","Other viral exanthem"
"177","Viral diseases accompanied by exanthem","057.0","Erythema infectiosum (fifth disease)"
"178","Viral diseases accompanied by exanthem","057.1","Exanthema subitum (sixth disease)"
"179","Viral diseases accompanied by exanthem","057.8","Other"
"180","Viral diseases accompanied by exanthem","057.9","Unspecified"
"181","Arthropod-borne viral diseases","060","Yellow fever"
"182","Arthropod-borne viral diseases","060.0","Sylvatic"
"183","Arthropod-borne viral diseases","060.1","Urban"
"184","Arthropod-borne viral diseases","060.9","Unspecified"
"185","Arthropod-borne viral diseases","061","Dengue"
"186","Arthropod-borne viral diseases","062","Mosquito-borne viral encephalitis"
"187","Arthropod-borne viral diseases","062.0","Japanese encephalitis"
"188","Arthropod-borne viral diseases","062.1","Western equine encephalitis"
"189","Arthropod-borne viral diseases","062.2","Eastern equine encephalitis"
"190","Arthropod-borne viral diseases","062.3","St. Louis encephalitis"
